,BHK,Price,Area,Location,Bathrooms,Balcony,Facing,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Others_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,LogPrice
275,2,4000000.0,850.0,"Bishnupur, Kolkata",2,1,South,1.0,4.0,0,0,0,0,0,3.0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,15.201805169084134
276,2,3690000.0,945.0,"Ramnarayan Government Colony, Behala",2,1,Missing,2.0,4.0,0,0,0,0,0,7.5,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,15.121137287019383
277,3,12500000.0,1359.0,"New Town, Kolkata",2,1,South-East,12.0,12.0,0,0,0,0,0,0.5,2,0,3,1,1,1,0,1,0,1,1,0,1,0,0,16.341239282272525
278,3,6000000.0,1130.0,"Garia, Kolkata",2,1,South-East,3.0,4.0,0,0,0,0,0,12.5,2,0,4,1,1,0,0,1,1,1,1,0,1,0,0,15.607270193858982
279,2,4750000.0,975.0,"Nager Bazar, Jessore Road",2,2,East,4.0,4.0,0,0,0,0,0,7.5,2,1,2,1,0,1,1,0,1,0,1,1,0,0,0,15.373655386537118
280,1,2000000.0,509.0,"Barasat, Kolkata North",1,0,East,3.0,8.0,0,0,0,0,0,7.5,2,1,6,1,1,1,1,1,1,1,0,0,1,0,0,14.508658238524095
281,1,2600000.0,415.0,"Kasba, Kolkata",1,1,South,2.0,3.0,0,0,0,0,0,12.5,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,14.77102238760702
282,2,2100000.0,620.0,"Mohan Pur, Barrackpore",1,1,South,2.0,3.0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14.557448378884015
283,3,11000000.0,1480.0,"DA Block Newtown, New Town",2,2,South-East,2.0,4.0,0,0,0,0,0,0.5,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,16.213405921671733
284,3,16500000.0,1550.0,"New Town, Kolkata",2,1,South-East,12.0,15.0,0,0,0,0,0,3.0,2,2,11,1,1,1,1,1,1,1,1,1,1,0,0,16.61887099947687
285,2,6200000.0,822.0,"Tangra, Kolkata",2,1,Missing,5.0,5.0,0,0,0,0,0,3.0,0,0,2,1,1,1,1,1,1,0,1,0,0,0,0,15.64006001130563
286,3,8500000.0,1265.0,"Rajpur, Southern Bypass",2,1,North-East,4.0,12.0,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.955576839107596
287,3,8700000.0,1274.0,"Kamalgazi, Southern Bypass",2,1,Missing,7.0,11.0,0,0,0,0,0,3.0,2,2,5,1,1,1,1,1,1,1,1,1,1,0,0,15.978833698567334
288,2,6100000.0,975.0,"Rajarhat, Kolkata",2,1,South-East,2.0,19.0,0,0,0,0,0,3.0,2,0,4,1,1,0,0,0,0,1,1,0,1,0,0,15.623799493077952
289,2,4000000.0,1100.0,"Amtala, Kolkata South",2,1,South-West,4.0,5.0,0,0,0,0,0,12.5,2,2,8,1,1,1,0,1,1,1,1,1,0,0,0,15.201805169084134
290,2,8500000.0,1053.0,"Char Park, Kolkata",2,1,East,10.0,13.0,0,0,0,0,0,0.5,2,0,2,1,1,1,0,1,0,1,1,0,1,0,0,15.955576839107596
291,2,6600000.0,1010.0,"Rajarhat, Kolkata",2,1,West,9.0,11.0,0,0,0,0,0,3.0,2,2,8,1,1,1,1,1,1,1,1,1,1,0,0,15.702580358511794
292,2,3800000.0,956.0,"Airport, Dum Dum",2,1,North,4.0,5.0,0,0,0,0,0,12.5,0,2,4,1,1,0,0,0,0,1,1,0,1,0,0,15.150511887854474
293,3,17500000.0,1495.0,"Khidirpur, Kolkata",2,1,Missing,4.0,9.0,0,0,0,0,0,12.5,1,1,5,1,1,0,0,0,0,1,1,1,1,0,0,16.677711496036597
294,3,8500000.0,1220.0,"New Town, Kolkata",2,1,North,1.0,4.0,0,0,0,0,0,3.0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,15.955576839107596
295,2,3500000.0,875.0,"Birati, Kolkata",2,1,South-West,2.0,4.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,1,0,0,0,0,15.068273812173887
296,3,9900000.0,1300.0,"BT Road, Kolkata",3,1,North,21.0,24.0,0,0,0,0,0,3.0,2,0,2,1,0,0,0,0,0,1,1,0,1,0,0,16.108045416114916
297,2,4225000.0,529.0,"Khardah, BT Road",2,1,South-East,6.0,12.0,0,0,0,0,0,0.5,0,0,4,1,1,1,0,1,1,1,1,0,1,0,0,15.256530055459773
298,3,6000000.0,1200.0,"Bally, Howrah",3,2,South-East,4.0,4.0,0,0,1,0,0,12.5,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,15.607270193858982
299,2,3400000.0,848.0,"East Balia, Garia",2,1,South-West,2.0,3.0,0,0,0,0,0,12.5,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,15.039286283703994
300,2,4536000.0,1080.0,"Durganagar, Belgharia Expressway, Kolkata",2,1,South-West,5.0,6.0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.327556344848254
