Unnamed: 0,BHK,Price,Area,Location,Bathrooms,Balcony,Facing,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Others_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,LogPrice,Latitude,Longitude
281,1,2600000.0,415.0,"Kasba, Kolkata",1,1,South,2.0,3.0,0,0,0,0,0,12.5,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,14.77102238760702,22.5044355,88.3721663
282,2,2100000.0,620.0,"Mohan Pur, Barrackpore",1,1,South,2.0,3.0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14.557448378884017,22.7720477,88.3986838
283,3,11000000.0,1480.0,"DA Block Newtown, New Town",2,2,South-East,2.0,4.0,0,0,0,0,0,0.5,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,16.213405921671733,22.5655274,88.4909785
284,3,16500000.0,1550.0,"New Town, Kolkata",2,1,South-East,12.0,15.0,0,0,0,0,0,3.0,2,2,11,1,1,1,1,1,1,1,1,1,1,0,0,16.61887099947687,22.5959131,88.4878653
285,2,6200000.0,822.0,"Tangra, Kolkata",2,1,Missing,5.0,5.0,0,0,0,0,0,3.0,0,0,2,1,1,1,1,1,1,0,1,0,0,0,0,15.64006001130563,22.5565107,88.3795946
286,3,8500000.0,1265.0,"Rajpur, South 24 Parganas",2,1,North-East,4.0,12.0,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.955576839107596,22.1018905,88.3745163
287,3,8700000.0,1274.0,Kamalgazi,2,1,Missing,7.0,11.0,0,0,0,0,0,3.0,2,2,5,1,1,1,1,1,1,1,1,1,1,0,0,15.978833698567334,22.4495236,88.3955392
288,2,6100000.0,975.0,Rajarhat,2,1,South-East,2.0,19.0,0,0,0,0,0,3.0,2,0,4,1,1,0,0,0,0,1,1,0,1,0,0,15.623799493077952,25.7967438,89.5446589
289,2,4000000.0,1100.0,"Bishnupur-I, South 24 Parganas",2,1,South-West,4.0,5.0,0,0,0,0,0,12.5,2,2,8,1,1,1,0,1,1,1,1,1,0,0,0,15.201805169084134,22.3786111,88.3175824
290,2,8500000.0,1053.0,"Char Park, Kolkata",2,1,East,10.0,13.0,0,0,0,0,0,0.5,2,0,2,1,1,1,0,1,0,1,1,0,1,0,0,15.955576839107596,22.578579,88.3551327
291,2,6600000.0,1010.0,Rajarhat,2,1,West,9.0,11.0,0,0,0,0,0,3.0,2,2,8,1,1,1,1,1,1,1,1,1,1,0,0,15.702580358511794,25.7967438,89.5446589
292,2,3800000.0,956.0,"Airport, Dum Dum",2,1,North,4.0,5.0,0,0,0,0,0,12.5,0,2,4,1,1,0,0,0,0,1,1,0,1,0,0,15.150511887854474,13.0479657,77.6452691
293,3,17500000.0,1495.0,"Khidirpur, Kolkata",2,1,Missing,4.0,9.0,0,0,0,0,0,12.5,1,1,5,1,1,0,0,0,0,1,1,1,1,0,0,16.677711496036597,22.5376181,88.3158211
294,3,8500000.0,1220.0,"New Town, Kolkata",2,1,North,1.0,4.0,0,0,0,0,0,3.0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,15.955576839107596,22.5959131,88.4878653
295,2,3500000.0,875.0,"Birati, Kolkata",2,1,South-West,2.0,4.0,0,0,0,0,0,3.0,2,0,0,1,1,1,1,1,1,0,1,0,0,0,0,15.068273812173889,22.6546116,88.4249902
296,3,9900000.0,1300.0,"BT Road, North 24 Parganas",3,1,North,21.0,24.0,0,0,0,0,0,3.0,2,0,2,1,0,0,0,0,0,1,1,0,1,0,0,16.108045416114916,22.7241945,88.4837829
297,2,4225000.0,529.0,"BT Road, North 24 Parganas",2,1,South-East,6.0,12.0,0,0,0,0,0,0.5,0,0,4,1,1,1,0,1,1,1,1,0,1,0,0,15.256530055459772,22.7241945,88.4837829
298,3,6000000.0,1200.0,"Bally, Howrah",3,2,South-East,4.0,4.0,0,0,1,0,0,12.5,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,15.607270193858982,22.6469581,88.343612
299,2,3400000.0,848.0,"Garia, Kolkata",2,1,South-West,2.0,3.0,0,0,0,0,0,12.5,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,15.039286283703994,22.4727076,88.3977962
300,2,4536000.0,1080.0,"Barrackpur-II, North 24 Parganas",2,1,South-West,5.0,6.0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.327556344848254,22.9500602,88.4587242
301,2,2750000.0,624.0,"Sree Colony, Kolkata",2,1,South,1.0,4.0,0,0,0,0,0,12.5,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,14.827111833279051,22.4851657,88.339032
302,3,4800000.0,1127.0,"Narendrapur, South 24 Parganas",2,2,North-West,5.0,7.0,0,0,0,0,0,0.5,1,0,3,1,1,1,0,1,1,0,1,0,1,0,0,15.38412668421143,22.4541674,88.4183764
303,2,2200000.0,723.0,"Serampore, Hooghly",2,1,West,1.0,4.0,0,0,0,0,0,7.5,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,14.603968372873895,22.7549951,88.3416672
304,2,5200000.0,1200.0,"Rajarhat, North 24 Parganas",2,1,South-East,5.0,5.0,0,0,1,0,0,12.5,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,15.46416937585933,22.6286173,88.44061
305,2,3600000.0,868.0,"Haltu, Kolkata",2,2,Missing,1.0,5.0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.096444681204078,22.506758,88.3817559
306,3,6800000.0,1254.0,"Sodepur, Kolkata North",2,1,North-East,6.0,19.0,0,0,0,0,0,7.5,2,1,4,1,1,0,1,1,0,1,1,1,1,0,0,15.732433317205148,22.7001796,88.3791567
307,2,6559999.999999999,818.0,"New Town, Kolkata",2,2,East,5.0,12.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,15.696501313359285,22.5959131,88.4878653
308,3,12200000.0,1238.0,"EM Bypass, Kolkata South",2,1,South-East,15.0,18.0,0,0,0,0,0,0.5,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,16.316946591670696,22.4690721,88.3912838
309,3,25000000.0,1710.0,"Triangular Park, Ballygunge",3,1,North-West,2.0,7.0,0,0,0,0,0,3.0,2,0,0,1,1,0,0,1,1,1,0,0,0,0,0,17.034386422832473,22.5179974,88.3577197
310,2,4963000.0,1056.0,"North Dum Dum, Kolkata",2,1,North,4.0,7.0,0,0,0,0,0,0.5,2,0,4,1,1,1,0,1,1,1,1,0,1,0,0,15.417521156060593,22.6344962,88.4157144
311,3,4901000.0,1167.0,"Barrackpur-II, North 24 Parganas",2,1,North-West,4.0,6.0,0,0,0,0,0,0.5,2,0,1,1,0,1,0,1,0,1,0,0,0,0,0,15.404950027931656,22.9500602,88.4587242
312,4,24500000.0,2200.0,"New Town, Kolkata",4,1,South-East,5.0,12.0,0,0,0,1,0,0.5,2,0,12,1,1,1,1,1,1,1,1,1,1,0,0,17.01418371633128,22.5959131,88.4878653
313,2,2900000.0,840.0,"Hariharpur, South 24 Parganas",2,1,East,4.0,4.0,0,0,0,0,0,3.0,0,2,0,1,1,1,0,1,1,1,1,0,0,0,0,14.88022163978423,22.2523362,88.306594
314,2,5200000.0,918.0,"Baruipur, South 24 Parganas",2,1,South-West,8.0,14.0,0,0,0,0,0,3.0,2,0,9,1,0,0,0,0,0,1,1,1,1,0,0,15.46416937585933,22.3606792,88.4322502
315,3,6500000.0,1275.0,"Garia, Kolkata",2,1,South-East,3.0,4.0,0,0,0,0,0,12.5,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,15.687312888712007,22.4727076,88.3977962
316,2,2100000.0,627.0,"Garia, Kolkata",1,1,South,4.0,4.0,0,0,0,0,0,7.5,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,14.557448378884017,22.4727076,88.3977962
317,3,5200000.0,1185.0,"Sonarpur, South 24 Parganas",2,1,South-East,2.0,4.0,0,0,0,0,0,7.5,2,0,3,1,1,1,1,1,1,1,1,0,1,0,0,15.46416937585933,22.4441922,88.4325557
318,3,7500000.0,1251.0,"Fartabad, Garia",2,2,North-East,3.0,4.0,0,0,0,0,0,7.5,2,1,5,1,1,0,1,1,1,1,1,1,1,0,0,15.830413711839864,22.4662345,88.4025921
