BHK,Price,Area,Bathrooms,Balcony,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,Latitude,Longitude,Floor_Ratio
3,6200000.0,1277.0,2,1,4.0,7.0,0,0,0,0,3.0,2,0,3,1,1,1,0,1,1,1,0,0,1,0,0,22.6947839,88.4530183,0.5714285714285714
2,4200000.0,1058.0,2,2,5.0,27.0,0,0,0,0,12.5,2,1,5,1,0,0,0,0,0,1,1,0,1,0,0,22.6286173,88.44061,0.18518518518518517
2,12900000.0,700.0,2,1,17.0,17.0,0,0,0,0,0.5,1,2,6,1,1,1,1,1,1,1,1,1,1,0,0,22.498636,88.3453908,1.0
3,22000000.0,1100.0,3,2,9.0,12.0,0,0,0,0,0.5,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,22.5111647,88.3281116,0.75
2,9500000.0,1148.0,2,1,4.0,4.0,0,0,0,0,12.5,2,2,1,1,1,1,0,1,0,0,0,1,0,0,0,22.5111821,88.3781985,1.0
2,2500000.0,796.0,2,1,3.0,3.0,0,0,0,0,12.5,2,0,2,1,0,1,0,1,1,0,0,0,1,0,0,22.7191072,88.4826229,1.0
4,62400000.0,3200.0,4,0,5.0,10.0,0,0,1,1,12.5,2,2,2,1,0,1,1,1,1,0,0,0,0,0,0,22.5551591,88.3501171,0.5
3,5500000.0,1051.0,2,1,2.0,7.0,0,0,0,0,0.5,2,0,2,1,1,1,0,0,0,0,0,1,0,0,0,22.6182558,88.393065,0.2857142857142857
4,11500000.0,1817.0,3,1,11.0,13.0,0,0,0,0,7.5,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,22.6656371,88.3980035,0.8461538461538461
3,10000000.0,1330.0,2,1,4.0,5.0,0,0,0,0,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4440966,88.3017146,0.8
3,5900000.0,1124.0,2,2,2.0,6.0,0,0,0,0,3.0,2,0,8,1,1,1,1,1,0,1,1,1,1,0,0,25.7967438,89.5446589,0.3333333333333333
3,10000000.0,1495.0,2,1,3.0,4.0,0,0,1,0,12.5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,22.498636,88.3453908,0.75
3,5800000.0,1200.0,2,1,4.0,4.0,0,0,0,0,7.5,2,1,0,1,0,1,1,1,1,0,0,0,0,0,0,22.477646,88.4399813,1.0
3,10500000.0,1355.0,2,1,9.0,10.0,0,0,0,0,0.5,2,2,3,1,0,0,0,0,0,1,1,0,1,0,0,25.7967438,89.5446589,0.9
3,6500000.0,1314.0,2,2,4.0,5.0,0,0,0,0,3.0,2,0,2,1,0,0,0,0,0,1,0,0,1,0,0,25.7967438,89.5446589,0.8
3,4500000.0,1277.0,2,1,3.0,3.0,0,0,0,0,12.5,2,0,1,1,1,1,0,1,1,0,0,1,0,0,0,22.6743641,88.3432884,1.0
3,4800000.0,1524.0,3,1,12.0,15.0,0,0,0,0,7.5,1,0,4,1,1,1,0,0,1,0,1,0,1,0,0,22.5440241,88.2696868,0.8
3,8500000.0,1355.0,2,1,9.0,10.0,0,0,0,0,0.5,2,1,3,1,1,1,1,1,0,1,1,0,1,0,0,25.7967438,89.5446589,0.9
3,5000000.0,1300.0,2,2,5.0,5.0,0,0,0,0,3.0,0,0,2,1,0,1,0,1,1,1,1,0,1,1,0,25.7967438,89.5446589,1.0
3,18000000.0,1750.0,3,1,9.0,13.0,0,0,0,0,7.5,1,2,2,1,1,0,1,0,0,1,0,0,1,0,0,22.5565107,88.3795946,0.6923076923076923
2,4000000.0,750.0,2,1,1.0,2.0,0,0,0,0,7.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22.7241945,88.4837829,0.5
3,12000000.0,1644.0,2,1,7.0,9.0,0,0,0,0,12.5,2,1,5,1,1,1,1,1,0,0,1,1,0,0,0,22.5008759,88.3739602,0.7777777777777778
3,7500000.0,1300.0,2,2,1.0,4.0,0,0,0,0,12.5,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,22.501572,88.3209435,0.25
5,10000000.0,2081.0,2,2,4.0,4.0,0,0,0,0,12.5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,22.6286173,88.44061,1.0
4,31000000.0,2017.0,3,2,23.0,26.0,0,0,0,1,3.0,2,2,2,1,0,0,0,0,0,1,1,0,1,0,0,22.5565107,88.3795946,0.8846153846153846
2,8500000.0,1316.0,2,1,6.0,12.0,0,0,0,0,3.0,2,0,3,1,0,0,0,0,0,0,1,0,1,0,0,22.498636,88.3453908,0.5
2,5700000.0,792.0,2,3,1.0,5.0,0,0,0,0,-0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5959131,88.4878653,0.2
3,13500000.0,1475.0,2,1,17.0,25.0,0,0,0,0,0.5,2,0,2,1,1,1,0,1,1,1,1,0,1,0,0,22.5959131,88.4878653,0.68
2,4500000.0,1100.0,2,1,4.0,4.0,0,0,0,0,12.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5685792,88.2942109,1.0
3,8500000.0,1220.0,2,1,4.0,4.0,0,0,0,0,3.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,22.495499,88.3709006,1.0
3,8500000.0,1565.0,3,3,3.0,4.0,0,0,0,0,7.5,2,2,2,1,1,1,1,1,0,0,0,1,0,0,0,22.566664,88.3653411,0.75
2,7400000.0,1090.0,2,1,4.0,11.0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4690721,88.3912838,0.36363636363636365
3,6000000.0,1119.0,2,2,11.0,14.0,0,0,0,0,-0.75,2,0,8,1,1,1,0,1,1,1,1,1,1,0,0,22.6670459,88.3411458,0.7857142857142857
2,3780000.0,700.0,1,1,4.0,4.0,0,0,0,0,7.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,22.6469581,88.343612,1.0
2,3700000.0,750.0,2,1,2.0,3.0,0,0,0,0,7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22.4765359,88.3654699,0.6666666666666666
2,5800000.0,638.0,2,1,11.0,27.0,0,0,0,0,-1.5,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,25.7967438,89.5446589,0.4074074074074074
